HGNC ID	Approved symbol	Status	Previous symbols	Alias symbols
HGNC:42633	H2BP6	Approved	HIST1H2BPS3	
HGNC:54444	H2BP7	Approved		
HGNC:54445	H2BP8	Approved		
HGNC:54446	H2BP9	Approved		
HGNC:27252	H2BW1	Approved	H2BFWT	TH2B-175
HGNC:27867	H2BW2	Approved	H2BFM, H2BM	
HGNC:44390	H2BW3P	Approved		
HGNC:25757	H2BW4P	Approved	H2BFXP	
HGNC:4764	H3-3A	Approved	H3F3, H3F3A	H3.3A
HGNC:55210	H3-3A-DT	Approved		
HGNC:4765	H3-3B	Approved	H3F3B	H3.3B
HGNC:4778	H3-4	Approved	H3FT, HIST3H3	H3t, H3/g, H3.4, H3C16
HGNC:33164	H3-5	Approved	H3F3C	H3.5, H3.3C
HGNC:32060	H3-7	Approved	HIST2H3PS2, H3-2	p06, H3.7
HGNC:4766	H3C1	Approved	H3FA, HIST1H3A	H3/A
HGNC:4776	H3C2	Approved	H3FL, HIST1H3B	H3/l
HGNC:4768	H3C3	Approved	H3FC, HIST1H3C	H3/c, H3.1
HGNC:4767	H3C4	Approved	H3FB, HIST1H3D	H3/b
HGNC:54427	H3C5P	Approved		
HGNC:4769	H3C6	Approved	H3FD, HIST1H3E	H3/d, H3.1
HGNC:4773	H3C7	Approved	H3FI, HIST1H3F	H3/i
HGNC:4772	H3C8	Approved	H3FH, HIST1H3G	H3/h
HGNC:18982	H3C9P	Approved	HIST1H3PS1	dJ45P21.6, H3F3AP1, p36
HGNC:4775	H3C10	Approved	H3FK, HIST1H3H	H3/k, H3F1K
HGNC:4771	H3C11	Approved	H3FF, HIST1H3I	H3/f, H3.f
HGNC:4774	H3C12	Approved	H3FJ, HIST1H3J	H3/j
HGNC:25311	H3C13	Approved	HIST2H3D	
HGNC:20503	H3C14	Approved	H3F2, H3FM, HIST2H3C	MGC9629, H3/m, H3, H3.2, H3/M
HGNC:20505	H3C15	Approved	HIST2H3A	H3/n, H3/o
HGNC:4763	H3F2	Symbol Withdrawn		
HGNC:4777	H3FM	Symbol Withdrawn		
HGNC:43794	H3P1	Approved		p02
HGNC:43795	H3P2	Approved		p03
HGNC:43796	H3P3	Approved		p04
HGNC:43797	H3P4	Approved	HIST2H3DP1	p05
HGNC:43798	H3P5	Approved		p12
HGNC:42980	H3P6	Approved	H3F3AP4	p13
HGNC:43799	H3P7	Approved		p60
HGNC:54449	H3P8	Approved		p14
HGNC:43801	H3P9	Approved		p15
HGNC:43802	H3P10	Approved		p16
HGNC:43803	H3P11	Approved		p17
HGNC:42873	H3P12	Approved	H3F3AP3	p18
HGNC:43804	H3P13	Approved		p19
HGNC:43805	H3P14	Approved		p20
HGNC:54450	H3P15	Approved		
HGNC:42982	H3P16	Approved	H3F3AP6	p21, H3.6
HGNC:54451	H3P17	Approved		p23
HGNC:54452	H3P18	Approved		
HGNC:54453	H3P19	Approved		p24
