input_symbol,resolved_symbol,ensembl_gene_id,source,note
C1orf226,C1orf226,ENSG00000239887,direct,
C2CD4A,C2CD4A,ENSG00000198535,direct,
C2orf68,C2orf68,ENSG00000168887,direct,
C3orf38,C3orf38,ENSG00000179021,direct,
C3orf52,C3orf52,ENSG00000114529,direct,
C5orf63,C5orf63,ENSG00000164241,direct,
C6orf120,C6orf120,ENSG00000185127,direct,
C6orf132,C6orf132,ENSG00000188112,direct,
C8orf58,C8orf58,ENSG00000241852,direct,
CACNA1D,CACNA1D,ENSG00000157388,direct,
CACNA1E,CACNA1E,ENSG00000198216,direct,
CALD1,CALD1,ENSG00000122786,direct,
CALM1,CALM1,ENSG00000198668,direct,
CALML4,CALML4,ENSG00000129007,direct,
CALU,CALU,ENSG00000128595,direct,
CANT1,CANT1,ENSG00000171302,direct,
CAP1,CAP1,ENSG00000131236,direct,
CASP14,CASP14,ENSG00000105141,direct,
CASP3,CASP3,ENSG00000164305,direct,
CBFA2T3,CBFA2T3,ENSG00000129993,direct,
CBL,CBL,ENSG00000110395,direct,
CBR4,CBR4,ENSG00000145439,direct,
CBX2,CBX2,ENSG00000173894,direct,
CBX5,CBX5,ENSG00000094916,direct,
CCDC25,CCDC25,ENSG00000147419,direct,
CCDC93,CCDC93,ENSG00000125633,direct,
CCL16,CCL16,ENSG00000275095;ENSG00000275152,direct,
CCL7,CCL7,ENSG00000108688,direct,
CCND1,CCND1,ENSG00000110092,direct,
CCND2,CCND2,ENSG00000118971,direct,
CCNG2,CCNG2,ENSG00000138764,direct,
CCNJ,CCNJ,ENSG00000107443,direct,
CCNJL,CCNJL,ENSG00000135083,direct,
CCNY,CCNY,ENSG00000108100,direct,
CD164,CD164,ENSG00000135535,direct,
CD276,CD276,ENSG00000103855,direct,
CD300LB,CD300LB,ENSG00000178789;ENSG00000291919,direct,
CD46,CD46,ENSG00000117335,direct,
CD59,CD59,ENSG00000085063,direct,
CD6,CD6,ENSG00000013725,direct,
CD74,CD74,ENSG00000019582,direct,
