mirna_id,gene_id,weight
hsa-let-7c,ENSG00000106546,1.0
hsa-let-7d,ENSG00000106546,1.0
hsa-let-7e,ENSG00000106546,1.0
hsa-let-7g,ENSG00000106546,1.0
hsa-let-7i,ENSG00000106546,1.0
hsa-let-7b,ENSG00000147853,1.0
hsa-let-7c,ENSG00000147853,1.0
hsa-let-7d,ENSG00000147853,1.0
hsa-let-7e,ENSG00000147853,1.0
hsa-let-7g,ENSG00000147853,1.0
hsa-let-7i,ENSG00000147853,1.0
hsa-let-7b,ENSG00000179841,1.0
hsa-let-7c,ENSG00000179841,1.0
hsa-let-7d,ENSG00000179841,1.0
hsa-let-7e,ENSG00000179841,1.0
hsa-let-7g,ENSG00000179841,1.0
hsa-let-7i,ENSG00000179841,1.0
hsa-let-7b,ENSG00000119523,1.0
hsa-let-7c,ENSG00000119523,1.0
hsa-let-7d,ENSG00000119523,1.0
hsa-let-7e,ENSG00000119523,1.0
hsa-let-7g,ENSG00000119523,1.0
hsa-let-7i,ENSG00000119523,1.0
hsa-let-7b,ENSG00000129055,1.0
hsa-let-7c,ENSG00000129055,1.0
hsa-let-7d,ENSG00000129055,1.0
hsa-let-7e,ENSG00000129055,1.0
hsa-let-7g,ENSG00000129055,1.0
hsa-let-7i,ENSG00000129055,1.0
hsa-let-7b,ENSG00000101745,1.0
hsa-let-7c,ENSG00000101745,1.0
hsa-let-7d,ENSG00000101745,1.0
hsa-let-7e,ENSG00000101745,1.0
hsa-let-7g,ENSG00000101745,1.0
hsa-let-7i,ENSG00000101745,1.0
hsa-let-7b,ENSG00000206560,1.0
hsa-let-7c,ENSG00000206560,1.0
hsa-let-7d,ENSG00000206560,1.0
hsa-let-7e,ENSG00000206560,1.0
hsa-let-7g,ENSG00000206560,1.0
hsa-let-7i,ENSG00000206560,1.0
hsa-let-7b,ENSG00000213337,1.0
hsa-let-7c,ENSG00000213337,1.0
hsa-let-7d,ENSG00000213337,1.0
hsa-let-7e,ENSG00000213337,1.0
